tanggal,kategori,komoditas,satuan,pasar,harga,rata_harian,rata_hitung,selisih_rata
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Wonokromo,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Genteng Baru,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Pabean,,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Kembang,14000,14000,14000,0
2024-01-01,MINYAK GORENG,Minyak Kita,Liter,Pasar Balongsari,14000,14000,14000,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Tambahrejo,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Pucang Anom,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Wonokromo,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Genteng Baru,22000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Pabean,,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Kembang,20000,20400,20400,0
2024-01-01,MENTEGA,Mentega Curah (Amanda),Kg,Pasar Balongsari,,20400,20400,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Tambahrejo,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Pucang Anom,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Wonokromo,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Genteng Baru,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Pabean,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Kembang,120000,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Atas,Kg,Pasar Balongsari,,120000,120000,0
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Tambahrejo,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Pucang Anom,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Wonokromo,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Genteng Baru,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Pabean,115000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Kembang,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Sedang,Kg,Pasar Balongsari,110000,110714.2857,110714.285714,0.000014
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Tambahrejo,90000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Pucang Anom,90000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Wonokromo,100000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Genteng Baru,105000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Pabean,110000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Kembang,100000,100000,100000,0
2024-01-01,DAGING,Daging Sapi Grade Bawah,Kg,Pasar Balongsari,105000,100000,100000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Tambahrejo,31000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Pucang Anom,30000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Wonokromo,30000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Genteng Baru,30000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Pabean,32000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Kembang,31000,31000,31000,0
2024-01-01,DAGING,Daging Ayam Broiler,Kg,Pasar Balongsari,33000,31000,31000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Tambahrejo,35000,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Pucang Anom,35000,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Wonokromo,,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Genteng Baru,40000,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Pabean,35000,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Kembang,,35000,35000,0
2024-01-01,I K A N,Ikan Tongkol Segar (Uk. Sedang),Kg,Pasar Balongsari,30000,35000,35000,0
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Tambahrejo,27000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Pucang Anom,28000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Wonokromo,35000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Genteng Baru,30000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Pabean,23000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Kembang,32000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Ikan Mujair Segar (Uk. Sedang),Kg,Pasar Balongsari,30000,29285.71429,29285.714286,0.000004
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Tambahrejo,60000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Pucang Anom,60000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Wonokromo,60000,61857.14286,61857.142857,0.000003
2024-01-01,I K A N,Udang Segar (Uk. Sedang),Kg,Pasar Genteng Baru,70000,61857.14286,61857.142857,0.000003
